article_date_timestamp,article_title,article_url
1669140900.0,В Сети появились кадры еще одного расстрела российских военнопленных,http://ont.by/news/v-seti-poyavilis-kadry-eshe-odnogo-rasstrela-rossijskih-voennoplennyh
1669130100.0,Число жертв землетрясения в Индонезии достигло 250 человек,http://ont.by/news/chislo-zhertv-zemletryaseniya-v-indonezii-dostiglo-250-chelovek
1669128420.0,"Стая собак терроризирует жителей нескольких деревень под Гродно: местная жительница выпускает свору каждый вечер, уже были случаи нападения",http://ont.by/news/staya-sobak-terroriziruet-zhitelej-neskolkih-dereven-pod-grodno-mestnaya-zhitelnica-vypuskaet-svoru-kazhdyj-vecher-uzhe-byli-sluchai-napadeniya
1669126021.0,В столичном ЖК «Олимпик 2» травмирован прораб: мужчину нашли без сознания,http://ont.by/news/v-stolichnom-zhk-olimpik-2-travmirovan-prorab-muzhchinu-nashli-bez-soznaniya
1669122000.0,Жителя Лунинецкого района будут судить за уклонение от призывной кампании,http://ont.by/news/zhitelya-lunineckogo-rajona-budut-sudit-za-uklonenie-ot-prizyvnoj-kampanii
1669119395.0,Александр Лукашенко направил соболезнование Президенту Индонезии в связи с трагическим землетрясением на острове Ява,http://ont.by/news/aleksandr-lukashenko-napravil-soboleznovanie-prezidentu-indonezii-v-svyazi-s-tragicheskim-zemletryaseniem-na-ostrove-yava
1669117570.0,Россия подавила обстреливавшие ЗАЭС огневые средства ВСУ,http://ont.by/news/rossiya-podavila-obstrelivavshie-zaes-ognevye-sredstva-vsu
1669115460.0,Пенсионерка из Могилева оформила кредиты и перевела мошенникам более 9 тыс. белорусских рублей,http://ont.by/news/pensionerka-iz-mogileva-oformila-kredity-i-perevela-moshennikam-bolee-9-tys-belorusskih-rublej
1669112698.0,«Спонсора» украинских войск задержали в Запорожской области,http://ont.by/news/sponsora-ukrainskih-vojsk-zaderzhali-v-zaporozhskoj-oblasti
1669112208.0,В Минске столкнулись два троллейбуса: пострадали 7 человек,http://ont.by/news/v-minske-stolknulis-dva-trollejbusa-postradali-7-chelovek
1669112100.0,Тело погибшего беженца обнаружено на белорусско-польской границе,http://ont.by/news/telo-pogibshego-bezhenca-obnaruzheno-na-belorussko-polskoj-granice
1669110120.0,При пожаре в жилом доме в Слонимском районе погиб мужчина,http://ont.by/news/pri-pozhare-v-zhilom-dome-v-slonimskom-rajone-pogib-muzhchina
1669109100.0,В студенческом общежитии в Ираке взорвался бытовой газ: есть погибшие,http://ont.by/news/v-studencheskom-obshezhitii-v-irake-vzorvalsya-bytovoj-gaz-est-pogibshie
1669108200.0,Во время пожара на одном из предприятий Китая погибли 38 человек,http://ont.by/news/vo-vremya-pozhara-na-odnom-iz-predpriyatij-kitaya-pogibli-38-chelovek
1669051620.0,Рогов: Энергодар обстреливают из артиллерии ВСУ натовского калибра,http://ont.by/news/rogov-energodar-obstrelivayut-iz-artillerii-vsu-natovskogo-kalibra
1669045920.0,Российские бойцы уничтожили украинских диверсантов в Херсонской области,http://ont.by/news/rossijskie-bojcy-unichtozhili-ukrainskih-diversantov-v-hersonskoj-oblasti
